FECHA,TEMPERATURA,HUMEDAD
2019-01-01 00:00:00,6.9,50.0
2019-01-01 01:00:00,6.7,48.0
2019-01-01 02:00:00,6.1,51.0
2019-01-01 03:00:00,4.4,56.0
2019-01-01 04:00:00,4.9,51.0
2019-01-01 05:00:00,4.7,50.0
2019-01-01 06:00:00,3.2,55.0
2019-01-01 07:00:00,4.0,51.0
2019-01-01 08:00:00,3.9,52.0
2019-01-01 09:00:00,4.3,49.0
2019-01-01 10:00:00,5.9,44.0
2019-01-01 11:00:00,8.4,38.0
2019-01-01 12:00:00,11.5,33.0
2019-01-01 13:00:00,13.2,33.0
2019-01-01 14:00:00,15.1,31.0
2019-01-01 15:00:00,15.5,30.0
2019-01-01 16:00:00,15.2,31.0
2019-01-01 17:00:00,12.3,37.0
2019-01-01 18:00:00,10.1,42.0
2019-01-01 19:00:00,9.0,46.0
2019-01-01 20:00:00,8.3,52.0
2019-01-01 21:00:00,7.7,54.0
2019-01-01 22:00:00,7.5,56.0
2019-01-01 23:00:00,6.4,58.0
2019-01-02 00:00:00,4.4,69.0
2019-01-02 01:00:00,4.1,70.0
2019-01-02 02:00:00,3.5,70.0
2019-01-02 03:00:00,3.3,67.0
2019-01-02 04:00:00,3.7,65.0
2019-01-02 05:00:00,2.4,71.0
2019-01-02 06:00:00,1.2,76.0
2019-01-02 07:00:00,1.2,75.0
2019-01-02 08:00:00,1.6,71.0
2019-01-02 09:00:00,2.1,69.0
2019-01-02 10:00:00,4.8,55.0
2019-01-02 11:00:00,6.8,49.0
2019-01-02 12:00:00,9.4,41.0
2019-01-02 13:00:00,12.0,36.0
2019-01-02 14:00:00,14.5,32.0
2019-01-02 15:00:00,15.4,28.0
2019-01-02 16:00:00,15.7,28.0
2019-01-02 17:00:00,13.5,31.0
2019-01-02 18:00:00,10.8,37.0
2019-01-02 19:00:00,9.9,45.0
2019-01-02 20:00:00,8.7,54.0
2019-01-02 21:00:00,8.2,49.0
2019-01-02 22:00:00,8.2,47.0
2019-01-02 23:00:00,7.5,47.0
2019-01-03 00:00:00,7.3,47.0
2019-01-03 01:00:00,6.9,48.0
2019-01-03 02:00:00,6.2,51.0
2019-01-03 03:00:00,5.9,50.0
2019-01-03 04:00:00,5.6,47.0
2019-01-03 05:00:00,5.0,46.0
2019-01-03 06:00:00,4.3,49.0
2019-01-03 07:00:00,4.5,49.0
2019-01-03 08:00:00,4.7,44.0
2019-01-03 09:00:00,4.8,42.0
2019-01-03 10:00:00,6.4,42.0
2019-01-03 11:00:00,7.8,39.0
2019-01-03 12:00:00,11.2,33.0
2019-01-03 13:00:00,13.2,30.0
2019-01-03 14:00:00,14.6,28.0
2019-01-03 15:00:00,15.2,27.0
2019-01-03 16:00:00,14.4,27.0
2019-01-03 17:00:00,12.2,32.0
2019-01-03 18:00:00,10.5,37.0
2019-01-03 19:00:00,9.5,41.0
2019-01-03 20:00:00,8.8,42.0
2019-01-03 21:00:00,8.7,41.0
2019-01-03 22:00:00,8.1,45.0
2019-01-03 23:00:00,7.4,48.0
2019-01-04 00:00:00,6.3,53.0
2019-01-04 01:00:00,5.7,56.0
2019-01-04 02:00:00,5.4,57.0
2019-01-04 03:00:00,5.2,57.0
2019-01-04 04:00:00,4.6,58.0
2019-01-04 05:00:00,3.6,62.0
2019-01-04 06:00:00,3.2,62.0
2019-01-04 07:00:00,3.0,62.0
2019-01-04 08:00:00,2.2,67.0
2019-01-04 09:00:00,2.1,71.0
2019-01-04 10:00:00,5.7,54.0
2019-01-04 11:00:00,7.2,47.0
2019-01-04 12:00:00,9.6,44.0
2019-01-04 13:00:00,12.0,39.0
2019-01-04 14:00:00,14.4,32.0
2019-01-04 15:00:00,15.7,27.0
2019-01-04 16:00:00,15.7,27.0
2019-01-04 17:00:00,12.6,31.0
2019-01-04 18:00:00,9.9,38.0
2019-01-04 19:00:00,8.6,45.0
2019-01-04 20:00:00,7.7,54.0
2019-01-04 21:00:00,7.0,57.0
2019-01-04 22:00:00,6.7,60.0
2019-01-04 23:00:00,5.7,66.0
2019-01-05 00:00:00,4.3,69.0
2019-01-05 01:00:00,3.5,66.0
2019-01-05 02:00:00,4.1,56.0
2019-01-05 03:00:00,3.0,61.0
2019-01-05 04:00:00,1.8,67.0
2019-01-05 05:00:00,1.1,69.0
2019-01-05 06:00:00,2.8,53.0
2019-01-05 07:00:00,1.6,58.0
2019-01-05 08:00:00,1.0,59.0
2019-01-05 09:00:00,1.3,62.0
2019-01-05 10:00:00,4.9,51.0
2019-01-05 11:00:00,7.1,42.0
2019-01-05 12:00:00,9.4,37.0
2019-01-05 13:00:00,11.4,36.0
2019-01-05 14:00:00,14.4,31.0
2019-01-05 15:00:00,14.8,30.0
2019-01-05 16:00:00,15.4,30.0
2019-01-05 17:00:00,12.9,35.0
2019-01-05 18:00:00,9.8,43.0
2019-01-05 19:00:00,9.0,49.0
2019-01-05 20:00:00,8.0,55.0
2019-01-05 21:00:00,6.8,61.0
2019-01-05 22:00:00,5.6,67.0
2019-01-05 23:00:00,5.0,70.0
2019-01-06 00:00:00,4.3,72.0
2019-01-06 01:00:00,3.1,74.0
2019-01-06 02:00:00,3.8,65.0
2019-01-06 03:00:00,2.9,68.0
2019-01-06 04:00:00,1.2,76.0
2019-01-06 05:00:00,0.7,79.0
2019-01-06 06:00:00,0.5,81.0
2019-01-06 07:00:00,0.1,76.0
2019-01-06 08:00:00,0.6,65.0
2019-01-06 09:00:00,1.8,57.0
2019-01-06 10:00:00,4.5,55.0
2019-01-06 11:00:00,6.0,49.0
2019-01-06 12:00:00,10.0,39.0
2019-01-06 13:00:00,13.1,30.0
2019-01-06 14:00:00,15.7,23.0
2019-01-06 15:00:00,18.0,20.0
2019-01-06 16:00:00,18.1,17.0
2019-01-06 17:00:00,15.8,20.0
2019-01-06 18:00:00,12.3,28.0
2019-01-06 19:00:00,11.2,31.0
2019-01-06 20:00:00,10.2,31.0
2019-01-06 21:00:00,7.8,36.0
2019-01-06 22:00:00,7.4,32.0
2019-01-06 23:00:00,6.7,36.0
2019-01-07 00:00:00,6.7,31.0
2019-01-07 01:00:00,5.1,34.0
2019-01-07 02:00:00,4.3,39.0
2019-01-07 03:00:00,4.8,38.0
2019-01-07 04:00:00,5.1,35.0
2019-01-07 05:00:00,4.0,36.0
2019-01-07 06:00:00,2.8,48.0
2019-01-07 07:00:00,2.3,52.0
2019-01-07 08:00:00,1.8,54.0
2019-01-07 09:00:00,2.8,53.0
2019-01-07 10:00:00,7.1,38.0
2019-01-07 11:00:00,9.8,31.0
2019-01-07 12:00:00,12.7,27.0
2019-01-07 13:00:00,14.5,25.0
2019-01-07 14:00:00,16.5,21.0
2019-01-07 15:00:00,17.6,16.0
2019-01-07 16:00:00,18.5,14.0
2019-01-07 17:00:00,16.2,18.0
2019-01-07 18:00:00,13.4,22.0
2019-01-07 19:00:00,12.0,24.0
2019-01-07 20:00:00,11.2,26.0
2019-01-07 21:00:00,10.3,26.0
2019-01-07 22:00:00,9.5,28.0
2019-01-07 23:00:00,8.3,32.0
2019-01-08 00:00:00,7.7,36.0
2019-01-08 01:00:00,7.2,38.0
2019-01-08 02:00:00,6.6,40.0
2019-01-08 03:00:00,6.5,41.0
2019-01-08 04:00:00,5.0,48.0
2019-01-08 05:00:00,5.0,47.0
2019-01-08 06:00:00,2.6,58.0
2019-01-08 07:00:00,1.8,59.0
2019-01-08 08:00:00,3.0,53.0
2019-01-08 09:00:00,3.6,50.0
2019-01-08 10:00:00,6.4,42.0
2019-01-08 11:00:00,7.8,41.0
2019-01-08 12:00:00,10.4,31.0
2019-01-08 13:00:00,13.9,25.0
2019-01-08 14:00:00,15.9,22.0
2019-01-08 15:00:00,16.8,21.0
2019-01-08 16:00:00,16.8,20.0
2019-01-08 17:00:00,14.9,24.0
2019-01-08 18:00:00,12.0,31.0
2019-01-08 19:00:00,10.5,34.0
2019-01-08 20:00:00,10.6,37.0
2019-01-08 21:00:00,9.8,41.0
2019-01-08 22:00:00,7.9,47.0
2019-01-08 23:00:00,6.9,50.0
2019-01-09 00:00:00,7.3,47.0
2019-01-09 01:00:00,7.2,51.0
2019-01-09 02:00:00,5.1,59.0
2019-01-09 03:00:00,6.8,48.0
2019-01-09 04:00:00,5.1,56.0
2019-01-09 05:00:00,4.4,62.0
2019-01-09 06:00:00,4.8,66.0
2019-01-09 07:00:00,4.5,72.0
2019-01-09 08:00:00,3.7,76.0
2019-01-09 09:00:00,5.9,67.0
2019-01-09 10:00:00,7.8,59.0
2019-01-09 11:00:00,9.3,54.0
2019-01-09 12:00:00,10.9,49.0
2019-01-09 13:00:00,13.4,42.0
2019-01-09 14:00:00,15.7,32.0
2019-01-09 15:00:00,15.9,27.0
2019-01-09 16:00:00,14.7,29.0
2019-01-09 17:00:00,13.6,32.0
2019-01-09 18:00:00,11.0,39.0
2019-01-09 19:00:00,9.5,43.0
2019-01-09 20:00:00,8.8,48.0
2019-01-09 21:00:00,8.5,46.0
