Year,Country,Region,Happiness Score,Economy (GDP per Capita),Social support,Health (Life Expectancy),Freedom,Trust (Government Corruption),Generosity
2015,Iceland,Western Europe,7.561,1.30232,1.40223,0.94784,0.62877,0.14145,0.4363
2015,Denmark,Western Europe,7.527,1.32548,1.36058,0.87464,0.64938,0.48357,0.34139
2015,Norway,Western Europe,7.522,1.459,1.33095,0.88521,0.66973,0.36503,0.34699
2015,Finland,Western Europe,7.406,1.29025,1.31826,0.88911,0.64169,0.41372,0.23351
2015,Sweden,Western Europe,7.364,1.33171,1.28907,0.91087,0.6598,0.43844,0.36262
2015,Spain,Western Europe,6.329,1.23011,1.31379,0.95562,0.45951,0.06398,0.18227
2016,Denmark,Western Europe,7.526,1.44178,1.16374,0.79504,0.57941,0.44453,0.36171
2016,Iceland,Western Europe,7.501,1.42666,1.18326,0.86733,0.56624,0.14975,0.47678
2016,Norway,Western Europe,7.498,1.57744,1.1269,0.79579,0.59609,0.35776,0.37895
2016,Finland,Western Europe,7.413,1.40598,1.13464,0.81091,0.57104,0.41004,0.25492
2016,Sweden,Western Europe,7.291,1.45181,1.08764,0.83121,0.58218,0.40867,0.38254
2016,Spain,Western Europe,6.361,1.34253,1.12945,0.87896,0.37545,0.06137,0.17665
2017,Norway,Western Europe,7.537,1.616463,1.533524,0.796667,0.635423,0.315964,0.362012
2017,Denmark,Western Europe,7.522,1.482383,1.551122,0.792566,0.626007,0.40077,0.35528
2017,Iceland,Western Europe,7.504,1.480633,1.610574,0.833552,0.627163,0.153527,0.47554
2017,Finland,Western Europe,7.469,1.443572,1.540247,0.809158,0.617951,0.382612,0.245483
2017,Sweden,Western Europe,7.284,1.494387,1.478162,0.830875,0.612924,0.384399,0.385399
2017,Spain,Western Europe,6.403,1.384398,1.532091,0.888961,0.408781,0.070914,0.190134
2018,Finland,Western Europe,7.632,1.305,1.592,0.874,0.681,0.393,0.202
2018,Norway,Western Europe,7.594,1.456,1.582,0.861,0.686,0.34,0.286
2018,Denmark,Western Europe,7.555,1.351,1.59,0.868,0.683,0.408,0.284
2018,Iceland,Western Europe,7.495,1.343,1.644,0.914,0.677,0.138,0.353
2018,Sweden,Western Europe,7.314,1.355,1.501,0.913,0.659,0.383,0.285
2018,Spain,Western Europe,6.31,1.251,1.538,0.965,0.449,0.074,0.142
2019,Finland,Western Europe,7.769,1.34,1.587,0.986,0.596,0.393,0.153
2019,Denmark,Western Europe,7.6,1.383,1.573,0.996,0.592,0.41,0.252
2019,Norway,Western Europe,7.554,1.488,1.582,1.028,0.603,0.341,0.271
2019,Iceland,Western Europe,7.494,1.38,1.624,1.026,0.591,0.118,0.354
2019,Sweden,Western Europe,7.343,1.387,1.487,1.009,0.574,0.373,0.267
2019,Spain,Western Europe,6.354,1.286,1.484,1.062,0.362,0.079,0.153
2020,Finland,Western Europe,7.8087,1.28519,1.499526,0.961271,0.662317,0.477857,0.15967
2020,Denmark,Western Europe,7.6456,1.326949,1.503449,0.979333,0.66504,0.49526,0.242793
2020,Iceland,Western Europe,7.5045,1.326502,1.547567,1.000843,0.661981,0.144541,0.36233
2020,Norway,Western Europe,7.488,1.424207,1.495173,1.008072,0.670201,0.434101,0.287985
2020,Sweden,Western Europe,7.3535,1.322235,1.433348,0.98647,0.650298,0.442066,0.272828
2020,Spain,Western Europe,6.4009,1.230535,1.421099,1.051343,0.425984,0.10958,0.165305
2021,Finland,Western Europe,7.842,1.446,1.106,0.741,0.691,0.481,0.124
2021,Denmark,Western Europe,7.62,1.502,1.108,0.763,0.686,0.485,0.208
2021,Iceland,Western Europe,7.554,1.482,1.172,0.772,0.698,0.17,0.293
2021,Norway,Western Europe,7.392,1.543,1.108,0.782,0.703,0.427,0.249
2021,Sweden,Western Europe,7.363,1.478,1.062,0.763,0.685,0.448,0.244
2021,Spain,Western Europe,6.491,1.375,1.057,0.826,0.462,0.124,0.135
2022,Finland,Western Europe,7.821,1.892,1.258,0.775,0.736,0.534,0.109
2022,Denmark,Western Europe,7.636,1.953,1.243,0.777,0.719,0.532,0.188
2022,Iceland,Western Europe,7.557,1.936,1.32,0.803,0.718,0.191,0.27
2022,Sweden,Western Europe,7.384,1.92,1.204,0.803,0.724,0.512,0.218
2022,Norway,Western Europe,7.365,1.997,1.239,0.786,0.728,0.474,0.217
2022,Spain,Western Europe,6.476,1.808,1.211,0.808,0.505,0.149,0.101
2023,Denmark,Western Europe,7.586,1.949,1.548,0.537,0.734,0.525,0.208
2023,Finland,Western Europe,7.804,1.888,1.585,0.535,0.772,0.535,0.126
2023,Iceland,Western Europe,7.53,1.926,1.62,0.559,0.738,0.187,0.25
2023,Norway,Western Europe,7.315,1.994,1.521,0.544,0.752,0.463,0.212
2023,Spain,Western Europe,6.436,1.798,1.491,0.567,0.533,0.157,0.101
2023,Sweden,Western Europe,7.395,1.921,1.51,0.562,0.754,0.52,0.225
