FECHA,ANO,MES,DIA,HORA,DIA_SEMANA,ESTACION,SO2,CO,NO2,PM2.5,PM10,O3,BTX,TEMPERATURA,HUMEDAD,ICA_SO2,ICA_PM10,ICA_O3,ICA_NO2,ICA
2019-01-01 05:00:00,2019.0,1.0,1.0,5,Martes,8.0,10.0,0.4,50.0,14.0,19.0,11.88,2.6,4.7,50.0,8.0,38.0,9.9,125.0,45.22
2019-01-01 06:00:00,2019.0,1.0,1.0,6,Martes,8.0,8.0,0.4,55.0,12.0,16.0,7.97,2.2,3.2,55.0,6.4,32.0,6.64,137.5,45.64
2019-01-01 07:00:00,2019.0,1.0,1.0,7,Martes,8.0,10.0,0.4,56.0,14.0,18.0,9.32,2.5,4.0,51.0,8.0,36.0,7.77,140.0,47.94
2019-01-01 08:00:00,2019.0,1.0,1.0,8,Martes,8.0,11.0,0.4,58.0,12.0,15.0,8.78,2.4000000000000004,3.9,52.0,8.8,30.0,7.32,145.0,47.78
2019-01-01 09:00:00,2019.0,1.0,1.0,9,Martes,8.0,12.0,0.4,51.0,11.0,16.0,17.29,2.9000000000000004,4.3,49.0,9.6,32.0,14.41,127.5,45.88
2019-01-01 10:00:00,2019.0,1.0,1.0,10,Martes,8.0,13.0,0.4,41.0,10.0,13.0,27.47,1.6,5.9,44.0,10.4,26.0,22.89,102.5,40.45
2019-01-01 11:00:00,2019.0,1.0,1.0,11,Martes,8.0,15.0,0.4,43.0,6.0,9.0,31.95,1.5,8.4,38.0,12.0,18.0,26.62,107.5,41.03
2019-01-01 12:00:00,2019.0,1.0,1.0,12,Martes,8.0,11.0,0.4,45.0,7.0,12.0,34.52,1.6,11.5,33.0,8.8,24.0,28.77,112.5,43.52
2019-01-01 13:00:00,2019.0,1.0,1.0,13,Martes,8.0,14.0,0.4,59.0,14.0,21.0,27.48,2.2,13.2,33.0,11.2,42.0,22.9,147.5,55.9
2019-01-01 14:00:00,2019.0,1.0,1.0,14,Martes,8.0,11.0,0.4,56.0,17.0,25.0,30.57,2.6,15.1,31.0,8.8,50.0,25.48,140.0,56.07
2019-01-01 15:00:00,2019.0,1.0,1.0,15,Martes,8.0,10.0,0.4,57.0,15.0,23.0,30.85,2.3000000000000003,15.5,30.0,8.0,46.0,25.71,142.5,55.55
2019-01-01 16:00:00,2019.0,1.0,1.0,16,Martes,8.0,9.0,0.4,61.0,17.0,26.0,27.66,2.4000000000000004,15.2,31.0,7.2,52.0,23.05,152.5,58.69
2019-01-01 17:00:00,2019.0,1.0,1.0,17,Martes,8.0,8.0,0.4,72.0,17.0,31.0,18.55,2.1,12.3,37.0,6.4,62.0,15.46,180.0,65.96
2019-01-02 04:00:00,2019.0,1.0,2.0,4,Miercoles,8.0,13.0,0.4,50.0,16.0,20.0,6.69,2.7,3.7,65.0,10.4,40.0,5.58,125.0,45.24
2019-01-02 05:00:00,2019.0,1.0,2.0,5,Miercoles,8.0,10.0,0.4,51.0,13.0,17.0,6.4,2.6,2.4,71.0,8.0,34.0,5.33,127.5,43.71
2019-01-02 06:00:00,2019.0,1.0,2.0,6,Miercoles,8.0,9.0,0.4,56.0,17.0,23.0,4.99,2.7,1.2,76.0,7.2,46.0,4.16,140.0,49.34
2019-01-02 11:00:00,2019.0,1.0,2.0,11,Miercoles,8.0,16.0,0.2965504431353818,69.0,12.0,22.0,19.19,5.1000000000000005,6.8,49.0,12.8,44.0,15.99,172.5,61.32
2019-01-02 12:00:00,2019.0,1.0,2.0,12,Miercoles,8.0,15.0,0.3,75.0,17.0,27.0,21.01,5.6000000000000005,9.4,41.0,12.0,54.0,17.51,187.5,67.75
